大分類,項目,補足,重要度,対象
アカウント・技術,ドメイン管理者情報,管理画面のID/PW・登録代行業者名・更新期限,A,全案件
アカウント・技術,サーバー管理アカウント,コントロールパネルのID/PW・契約サーバー名,A,全案件
アカウント・技術,SMTP情報,サーバ/ポート/ユーザ/PW/TLS有無。フォーム送信メールに必須,A,全案件
アカウント・技術,DNS設定の変更権限,誰がDNSレコードを変更できるか確認(切替時に重要),A,全案件
アカウント・技術,SSL証明書の方針,既存/Let's Encrypt/有料(EV含む)のいずれか,A,全案件
アカウント・技術,CMS選定,WordPress/独自/静的サイト。理由も含めて確認,A,全案件
アカウント・技術,データベース情報,既存DBがある場合のホスト/DB名/ユーザー/PW,B,既存システムあり
アカウント・技術,対応ブラウザ範囲,Chrome/Safari/Firefox/Edgeの最新版が標準。IE非対応の確認,B,全案件
アカウント・技術,対応OS・デバイス,Windows/Mac/iOS/Android。最低限のバージョン,B,全案件
アカウント・技術,ステージング環境の必要性,本番前確認用環境を別途用意するか,B,全案件
アカウント・技術,Git/バージョン管理,既存リポジトリの有無・引継,B,既存サイトあり
ビジネス,会社情報(基本),社名(正式・略称)・所在地・代表者・設立年・電話番号,A,全案件
ビジネス,事業内容,主力商品/サービス・顧客層・提供エリア,A,全案件
ビジネス,サイトの目的,認知/問合せ獲得/採用/EC/予約/ブランディング(複数可),A,全案件
ビジネス,KPI / 成功指標,月間PV・問合せ件数・予約件数・売上目標など具体数値,A,全案件
ビジネス,ターゲット(ペルソナ),年齢層・性別・職業・地域・課題,A,全案件
ビジネス,競合他社URL,3〜5社。なぜ意識するかの理由もセットで,A,全案件
ビジネス,強み・差別化ポイント,競合との違い・選ばれる理由,A,全案件
ビジネス,ブランドコンセプト,伝えたい印象・価値観・ストーリー,B,全案件
サイト構成,対応デバイス,PC/スマホ/タブレット。優先順位も,A,全案件
サイト構成,必要なページ一覧,トップ/会社案内/サービス/実績/お知らせ/問合せ/採用/PP等,A,全案件
サイト構成,ページ数の目安,全体ボリュームの確認。見積もりに直結,A,全案件
サイト構成,多言語対応,必要言語・切替方法(自動/手動),B,全案件
サイト構成,会員機能の有無,ログイン/マイページ/会員限定コンテンツ,B,全案件
デザイン,デザインの方向性,キーワード(モダン/クラシック/ポップ/高級/カジュアル),A,全案件
デザイン,カラー指定,ブランドカラー・サブカラー・NGカラー,A,全案件
デザイン,参考サイト 3〜5,良いと思うサイト。どの点が良いかも明示,A,全案件
デザイン,既存ロゴ・素材,ベクターデータ(AI/SVG)の有無・利用可能画像,A,全案件
デザイン,フォント,ゴシック/明朝/英文フォント指定,B,全案件
デザイン,NGサイト,嫌いな雰囲気のサイト。デザイン方向性の絞り込み用,B,全案件
デザイン,CI/VIガイドライン,ロゴ規定・カラー規定の文書がある場合は提供依頼,B,全案件
コンテンツ,文章・画像の用意分担,客が用意 / 制作側ライティング / 取材のいずれか,A,全案件
コンテンツ,写真撮影の必要性,必要枚数・被写体・ロケーション・予算,A,全案件
コンテンツ,動画コンテンツの有無,撮影/編集の有無・尺・用途,B,全案件
コンテンツ,取材・ライティング,スタッフ紹介・お客様の声等の取材必要性,B,全案件
コンテンツ,ストック写真の予算,Adobe Stock/Shutterstock等の使用予算,B,全案件
連携・統合,Google Analytics,既存タグ(GA4測定ID)・新規発行の方針,A,全案件
連携・統合,Search Console,所有権確認方法・既存プロパティの有無,A,全案件
連携・統合,広告タグ,Google広告/Meta広告/Yahoo広告のコンバージョン計測有無,A,広告運用あり
連携・統合,予約システム連携,リザーブストック/Selectype/独自システム等,B,予約あり
連携・統合,決済代行,Stripe/Square/PayPay/その他。手数料想定,B,EC・予約あり
連携・統合,CRM/MA連携,HubSpot/SalesForce/kintone等の連携有無,B,要連携
連携・統合,通知連携,LINE/Slack/Chatwork等への問合せ通知,B,全案件
連携・統合,既存システムとのAPI連携,基幹システム・在庫管理・会員DB等,B,要連携
連携・統合,OGP設定,Twitter Card・Facebook OGP・LINE,B,全案件
連携・統合,構造化データ,Organization/Product/Article/LocalBusiness等,B,全案件
連携・統合,Cookie同意,GDPR・改正個人情報保護法対応の必要性,B,B2C・国際対応
SEO・集客,SEOメインキーワード,3〜5語。検索ボリュームと競合性,A,全案件
SEO・集客,想定検索クエリ,顧客がどう検索するかのキーワード仮説,B,全案件
SEO・集客,地域SEO,商圏・エリア名・地域キーワード,B,地域密着型
SEO・集客,ローカルSEO(MEO),GBP運用の予定有無,B,店舗あり
SEO・集客,競合のSEO状況,競合サイトの強さ・狙うキーワード,C,全案件
運用・保守,更新頻度,お知らせ・ブログ・新商品等の更新頻度,A,全案件
運用・保守,更新担当,客社内 or 業者(はなさか)。料金体系の合意,A,全案件
運用・保守,運用保守契約の有無,月額金額・対応範囲(更新時間・対応速度・連絡手段),A,全案件
運用・保守,バックアップ頻度・保存先,自動/手動・日次/週次・保存先(別サーバー/クラウド),A,全案件
運用・保守,CMS研修の必要性,客側で更新する場合の操作レクチャー,B,客側更新あり
運用・保守,セキュリティアップデート方針,WordPress本体/プラグインの更新責任,B,全案件
運用・保守,障害時の連絡先・SLA,稼働時間・連絡手段・対応時間の合意,B,全案件
法務・コンプライアンス,プライバシーポリシー,既存原案の有無。なければ制作側で雛形提供,A,全案件
法務・コンプライアンス,特定商取引法に基づく表示,EC機能を含む場合は必須,A,EC案件
法務・コンプライアンス,景品表示法,「No.1」「業界初」等の表記の根拠資料,B,訴求あり
法務・コンプライアンス,著作権,文章/写真/イラストの出所・利用可否,B,全案件
法務・コンプライアンス,肖像権,スタッフ・お客様写真の同意取得状況,B,人物写真あり
法務・コンプライアンス,薬機法,化粧品/医療系の場合の表現規制,C,化粧品・医療
スケジュール・予算,公開希望日,確定/希望のいずれか・理由(イベント等),A,全案件
スケジュール・予算,着手希望日,いつから動けるか,A,全案件
スケジュール・予算,制作費の予算,上限・希望レンジ,A,全案件
スケジュール・予算,運用費の予算,月額の上限・希望レンジ,A,全案件
スケジュール・予算,支払いタイミング,着手金/中間金/納品時の比率合意,A,全案件
スケジュール・予算,マイルストーン,WF承認/デザイン承認/開発完了等の節目日,B,全案件
関係者・コミュニケーション,窓口担当者,名前・部署・連絡先・連絡可能時間帯,A,全案件
関係者・コミュニケーション,決裁者,最終判断を下す人物・承認フロー,A,全案件
関係者・コミュニケーション,コミュニケーション手段,メール/Slack/Chatwork/LINE等の優先順位,A,全案件
関係者・コミュニケーション,社内チームメンバー,レビュー担当・コンテンツ提供担当,B,全案件
関係者・コミュニケーション,定例会議の頻度,週次/隔週/月次,B,全案件
既存サイト引継,引き継ぐコンテンツ,維持するページ・破棄するページの仕分け,A,既存サイトあり
既存サイト引継,既存ドメインの維持,移管/維持/破棄の方針,A,既存サイトあり
既存サイト引継,既存サイトの停止タイミング,新サイト公開と旧サイト停止の同期,A,既存サイトあり
既存サイト引継,301リダイレクト計画,SEO評価を引き継ぐためのURLマッピング,A,既存サイトあり
既存サイト引継,URLマッピング表,旧URL→新URLの対応表(リダイレクト元データ),A,既存サイトあり
既存サイト引継,既存解析データ,GA/SCの過去データのエクスポート,B,既存サイトあり
業種別(EC),商品数・カテゴリ構成,初期登録数・カテゴリ階層,B,EC
業種別(EC),配送方法,送料・配送業者・配送エリア,B,EC
業種別(EC),在庫管理,在庫数連動・取置き機能の有無,B,EC
業種別(EC),ポイント制度,ポイント付与率・有効期限,C,EC
業種別(採用),求人媒体連動,Indeed/Wantedly等の連動,B,採用サイト
業種別(採用),応募フォーム項目,履歴書添付・カジュアル面談予約等,B,採用サイト
業種別(医療),医療広告ガイドラインの遵守,厚労省ガイドライン・治療内容の表現規制,A,医療・歯科
業種別(医療),予約システム,EPARK等の医療予約連携,B,医療・歯科
業種別(不動産),物件データ連携,RealnetやREINS等のデータ連動,B,不動産
業種別(不動産),空室情報自動更新,空室状況のリアルタイム反映,B,不動産
業種別(飲食),メニュー更新頻度,季節メニュー・新メニュー追加頻度,B,飲食
業種別(飲食),予約システム・GBP連動,テーブルチェック等・Googleマップ予約連動,B,飲食
